AuthorID,Author,Date,Content,Attachments,Reactions
"329977469350445069","Lord of Galaxy#9211","26-Dec-18 10:37 AM","New channels","",""
"393854278764068875","curiouskiwi#1671","26-Dec-18 11:44 AM","just getting ready for 2019","",""
"329977469350445069","Lord of Galaxy#9211","26-Dec-18 01:10 PM","interesting","",""
"329977469350445069","Lord of Galaxy#9211","26-Dec-18 01:11 PM","Let's see what new challenges 2019 brings us","",""
"219295627459166208","VelocityIsntSpeed#9490","28-Dec-18 06:01 PM","Is homepage going to replace speller, bleep replace sentimental, and survey replace similarities?","",""
"393854278764068875","curiouskiwi#1671","28-Dec-18 10:25 PM","no.   they are new problems, but speller, sentimental and similarities are still here too.  (music has been removed)","",""
"393854278764068875","curiouskiwi#1671","28-Dec-18 10:31 PM","Here's a sneak peek of the schedule for 2019 cs50x","https://cdn.discordapp.com/attachments/527358000999038976/528309138879676427/2019cs50x.png","💯 (5),👍 (3)"
"219295627459166208","VelocityIsntSpeed#9490","29-Dec-18 10:33 PM","@curiouskiwi Were the already existing problems modified for 2019? And if so, will we have to do them again?","",""
"393854278764068875","curiouskiwi#1671","29-Dec-18 11:08 PM","@VelocityIsntSpeed afaik, if you already had a problem graded, it will count for 2019, even if the problem is changed.  Prof Malan is working out the ""transition instructions"" which will be published on Jan 1.","",""
"207503709746233345","Secure Me Musk#8567","03-Jan-19 05:33 PM","new year looking really strong for CS50. tbh music was my least favorite pset 😅","",""
"397677328660037632","Maarten#1004","03-Jan-19 06:01 PM","I actually really enjoyed music haha","",""
"224937960431157260","Penderrin#5312","16-Jan-19 06:59 AM","Should this be pointing to 2018 ... or 2019?","https://cdn.discordapp.com/attachments/527358000999038976/534959792821633044/unknown.png",""
"393854278764068875","curiouskiwi#1671","16-Jan-19 07:10 AM","that's correct as is","",""
"224937960431157260","Penderrin#5312","16-Jan-19 08:15 AM","Great!","",""
"280154315098685441","MC Kevmeister#3166","20-Jan-19 02:16 AM","When we are printing the bleeped message, do we compare the  banned words stored in the set  to the words from the message stored in a list?","",""
"280154315098685441","MC Kevmeister#3166","20-Jan-19 02:16 AM","How do you work with lists and sets at the same time?","",""
"393854278764068875","curiouskiwi#1671","20-Jan-19 02:18 AM","well, if you had a set called `badwords` and a list called `text` ... for word in text:   if word in badwords:    ...etc.","",""
"492450454341550100","WhipStreak23#6131","23-Jan-19 07:33 PM","How do you access a text file in python? 🤔","",""
"492450454341550100","WhipStreak23#6131","23-Jan-19 07:49 PM","The `open` function doesn't exactly seem to work...","",""
"393854278764068875","curiouskiwi#1671","23-Jan-19 09:10 PM","@WhipStreak23   ```python
file = open(""file.txt"", ""r"")```  should work fine.","",""
"535134130980257802","zingya#3821","24-Jan-19 03:30 AM","```
:) bleep exists
:) rejects len(sys.argv) less than 2
:) rejects len(sys.argv) more than 2
:( input of 'hello world' outputs 'hello world'
    expected ""Hello world\n"", not ""hello world\n""
:( input of 'This darn world' outputs 'This **** world'
    expected ""This **** world..."", not ""this **** world...""
:( input of 'THIS DARN WORLD' outputs 'THIS **** WORLD'
    expected ""THIS **** WORLD..."", not ""this **** world...""
:( doesn't censor substrings
    expected ""Darning my sock..."", not ""darning my sock...""
:( handles banned words lists with arbitrary words in them
    expected ""My *** and *** ..."", not ""my *** and dog ...""
```","",""
"535134130980257802","zingya#3821","24-Jan-19 03:30 AM","getting these errors on check50","",""
"535134130980257802","zingya#3821","24-Jan-19 03:30 AM","code","",""
"535134130980257802","zingya#3821","24-Jan-19 03:30 AM","it seems to work when I test it in console","",""
"535134130980257802","zingya#3821","24-Jan-19 03:30 AM","im confused","",""
"393854278764068875","curiouskiwi#1671","24-Jan-19 04:23 AM","You're changing the case of the input when you shouldn't be.  ```:( input of 'THIS DARN WORLD' outputs 'THIS **** WORLD'
    expected ""THIS **** WORLD..."", not ""this **** world...""```","",""
"393854278764068875","curiouskiwi#1671","24-Jan-19 04:23 AM","etc","",""
"393854278764068875","curiouskiwi#1671","24-Jan-19 04:25 AM","you shouldn't be saving the results of  .lower()    Why  not just use that when testing each word, rather than saving a new version?","",""
"393854278764068875","curiouskiwi#1671","24-Jan-19 04:26 AM","@zingya ^^","",""
"535134130980257802","zingya#3821","24-Jan-19 01:02 PM","@curiouskiwi I removed it and it fixed it","",""
"535134130980257802","zingya#3821","24-Jan-19 01:02 PM","but","",""
"535134130980257802","zingya#3821","24-Jan-19 01:02 PM","now DARN isnt == darn","",""
"535134130980257802","zingya#3821","24-Jan-19 01:03 PM","so surely I do need to lowercase it ?","",""
"535134130980257802","zingya#3821","24-Jan-19 01:03 PM","instead of `if number == banned:`","",""
"535134130980257802","zingya#3821","24-Jan-19 01:03 PM","would `if number.lower() == banned:`","",""
"535134130980257802","zingya#3821","24-Jan-19 01:04 PM","work?","",""
"535134130980257802","zingya#3821","24-Jan-19 01:04 PM","idk why im asking im just going to try","",""
"535134130980257802","zingya#3821","24-Jan-19 02:07 PM","@! Ben hey thanks thats what I basically was trying to say with my previous messages","",""
"535134130980257802","zingya#3821","24-Jan-19 02:07 PM","then I tried it and it works","",""
"535134130980257802","zingya#3821","24-Jan-19 02:07 PM","I understand that now","",""
"535134130980257802","zingya#3821","24-Jan-19 02:08 PM","thanks 😄","",""
"492450454341550100","WhipStreak23#6131","25-Jan-19 10:32 PM","```
Traceback (most recent call last):
  File ""bleep.py"", line 10, in <module>
    main()
  File ""bleep.py"", line 5, in main
    file = open(sys.argv[1], ""r"")
IndexError: list index out of range
```","",""
"492450454341550100","WhipStreak23#6131","25-Jan-19 10:33 PM","That's the error when I have this code : 
```
from cs50 import get_string
import sys

def main():
    file = open(sys.argv[1], ""r"")
    print(file[0])


if __name__ == ""__main__"":
    main()
```","",""
"393854278764068875","curiouskiwi#1671","25-Jan-19 10:35 PM","`file` is a file object.  what are you trying to print?","",""
"492450454341550100","WhipStreak23#6131","25-Jan-19 10:36 PM","a word","",""
"492450454341550100","WhipStreak23#6131","25-Jan-19 10:37 PM","`darn`","",""
"393854278764068875","curiouskiwi#1671","25-Jan-19 10:40 PM","first, I'd make sure the file was actually opened.  You can wrap your open in a try/except like ```python
    try:
        file = open(sys.argv[1], ""r"")
    except OSError:
        sys.exit(""File not opened"")```","",""
"492450454341550100","WhipStreak23#6131","25-Jan-19 10:42 PM","getting the same error : It was","",""
"393854278764068875","curiouskiwi#1671","25-Jan-19 10:44 PM","so as I said, `file` is an object. You can't just print it directly.","",""
"393854278764068875","curiouskiwi#1671","25-Jan-19 10:45 PM","you can iterate over it using a loop if you want to get individual words, or you can print the entire contents with `print(file.read())`","",""
"393854278764068875","curiouskiwi#1671","25-Jan-19 10:45 PM","for the purposes of the Bleep problem, you probably want to take the words and add them to list (or maybe a set?)","",""
"492450454341550100","WhipStreak23#6131","26-Jan-19 04:36 PM","Thanks @curiouskiwi, I finished Bleep.","","👍 (1)"
"66419649960488960","IzaakDonaldson#2597","02-Feb-19 12:16 AM","```py
def main():

if __name__ == ""__main__"":
    main()
```

Is it fine to do this problem set without these functions?","",""
"393854278764068875","curiouskiwi#1671","02-Feb-19 02:29 AM","@IzaakDonaldson if you have no other functions, then it's fine to use a simple script without defining a `main` function.","","👍 (1)"
"522241274364035092","phantomware#8056","11-Feb-19 01:58 AM","if i use `for w in words` to iterate through a list called words is there a way to change the items in the list or can they only be referenced?  Ie. I know I can do `if w = ...` but how do I change the value of `w` (more accurately the value at that index) in the array `words`?","",""
"522241274364035092","phantomware#8056","11-Feb-19 01:58 AM","in this case do I have to iterate through the array using index reference?","",""
"393854278764068875","curiouskiwi#1671","11-Feb-19 02:17 AM","you can't change the values so yes, use an index, like `for i in range(len(text)):` rather than `for word in text:`","",""
"542404365248364557","Papounet94#9051","11-Feb-19 12:30 PM","Hi everyone I am having a trouble with check50 for the last test. with 'banned2.txt' file. I apparently do not catch the cat (no pun intended), but I have no way to understand the trouble if I cannot have access to banned2.txt.","",""
"542404365248364557","Papounet94#9051","11-Feb-19 12:30 PM","😦 handles banned words lists with arbitrary words in them
expected ""My *** and *** ..."", not ""My cat and *** ..."" 

Log 
running python bleep.py banned2.txt... 
sending input My cat and dog are great... 
checking for output ""My *** and *** are great ""... 

Expected Output: 
My *** and *** are great
Actual Output: 
My cat and *** are great","",""
"542404365248364557","Papounet94#9051","11-Feb-19 12:31 PM","sorry the copy/paste of the Result didn't work well","",""
"542404365248364557","Papounet94#9051","11-Feb-19 12:34 PM","here is a screen capture","https://cdn.discordapp.com/attachments/527358000999038976/544466190584774666/Capture_decran_2019-02-11_a_11.33.39.png",""
"542404365248364557","Papounet94#9051","11-Feb-19 12:40 PM","Forget it! I have figured out what is my problem. I can be so dumb sometimes ... 😭","",""
"224937960431157260","Penderrin#5312","16-Feb-19 04:22 PM","@Papounet94 Nice!  I also feel like almost every single bug I make is in the ""so dumb"" category.","",""
"247039406802862082","sampJ#2249","17-Feb-19 07:34 PM","im using this code to make a list from the banned.txt
``` # makes a list of every line from file
        ban_list = file.readlines()```","",""
"247039406802862082","sampJ#2249","17-Feb-19 07:35 PM","but  then i cant work out how to remove \n with the strip() function","",""
"247039406802862082","sampJ#2249","17-Feb-19 07:35 PM","any help ?>","",""
"224937960431157260","Penderrin#5312","18-Feb-19 06:08 AM","@sampJ  Check out https://docs.python.org/3/library/stdtypes.html#str.rstrip","",""
"247039406802862082","sampJ#2249","18-Feb-19 10:07 AM","Like rstrip('\n') ?","",""
"247039406802862082","sampJ#2249","18-Feb-19 01:13 PM","I already used rstrip in a for loop but that didnt replace the original values.. Now i get it. I used a counter to store the values in the original list","",""
"224937960431157260","Penderrin#5312","19-Feb-19 03:55 AM","@sampJ Nice!","","👌 (1)"
"492450454341550100","WhipStreak23#6131","19-Feb-19 04:33 PM","`sys.stdout.write` is pretty good too but quite long : https://stackoverflow.com/questions/3263672/the-difference-between-sys-stdout-write-and-print","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:07 PM","`input: gosh darn it`
`expected: **** **** it`
`my code: ********it`","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:07 PM","any help on print issue","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:16 PM","https://pastebin.com/JfnzvGvj","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:20 PM","nvm.. fixed it","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:24 PM","i dont understand the error
https://cs50.me/checks/ab2423e9178ebbd1f692034a90a22be073f5fba7","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:24 PM","pls help","",""
"330647206023528449","kelechy#8060","22-Feb-19 05:59 PM","","https://cdn.discordapp.com/attachments/527358000999038976/548534273058013184/error.JPG",""
"330647206023528449","kelechy#8060","22-Feb-19 06:10 PM","nvm.. fixed it","",""
"299665471396118532","Nyandereian#6481","06-Mar-19 11:49 PM","not sure what I should do about this","https://cdn.discordapp.com/attachments/527358000999038976/552971115824283699/Schermopname_226.png",""
"299665471396118532","Nyandereian#6481","06-Mar-19 11:49 PM","I didn't touch this prewritten code","",""
"393854278764068875","curiouskiwi#1671","07-Mar-19 12:00 AM","add another newline before it","",""
"299665471396118532","Nyandereian#6481","07-Mar-19 12:09 AM","ah haha okay","",""
"299665471396118532","Nyandereian#6481","07-Mar-19 12:09 AM","thnx","",""
"242010922611245056","armchair#4520","12-Mar-19 05:46 PM","Lawrence has arrived boiz","",""
"242010922611245056","armchair#4520","12-Mar-19 05:47 PM","Sentimental was a nice way of getting to know the ins and outs of python. Also a good rehersal of previously acquired knowledge and seeing in what ways python differs from C.","",""
"299665471396118532","Nyandereian#6481","15-Mar-19 11:16 PM","yushh","",""
"134426631379877888","thrake#3514","20-Mar-19 11:56 AM","Is there a mistake in the specification for speller?","",""
"134426631379877888","thrake#3514","20-Mar-19 11:56 AM","it says","",""
"134426631379877888","thrake#3514","20-Mar-19 11:56 AM","""You may assume that any text files the staff tests with will have one word per line (each line terminated with a \n), and any alphabetic characters in those words will be lowercase.""","",""
"134426631379877888","thrake#3514","20-Mar-19 11:56 AM","and when i run check50 i run into the error:","https://cdn.discordapp.com/attachments/527358000999038976/557865111507828737/Bildschirmfoto_2019-03-20_um_10.56.40.png",""
"134426631379877888","thrake#3514","20-Mar-19 11:57 AM","ah nvm, that is for the bannedWord files","",""
"109132404450410496","Pook#5879","10-Jun-19 09:06 AM","I wonder how many people have quit up to this point","",""
"234679095378706433","Blauelf#6622","11-Jun-19 01:58 PM","Don't have official numbers (there were some for a previous year, can't find it), but I guess `speller` hit hard.","",""
"138076956762701825","Ryan#3894","12-Jun-19 05:03 PM","I finished Bleep :D","",""
"116388284376154116","AndrewHI#7952","13-Jun-19 03:59 PM","My code seems to be working fine but I'm getting this error when I run check50","https://cdn.discordapp.com/attachments/527358000999038976/588714024393375755/unknown.png",""
"116388284376154116","AndrewHI#7952","13-Jun-19 04:02 PM","Ah I see I needed to use exit(1) instead of return 1","",""
"288782447704014861","Aarif#4801","16-Jul-19 04:03 AM","https://gyazo.com/f498e407acb20303c6cb7f90e5231e4b","",""
"288782447704014861","Aarif#4801","16-Jul-19 04:03 AM","I'm dealing with this annoying  error:","",""
