AuthorID,Author,Date,Content,Attachments,Reactions
"456226577798135808","Deleted User#0000","27-Dec-17 11:19 PM","Looks like I'm the first!","",""
"208250933522464768","Timbersaw#8519","27-Dec-17 11:20 PM","now dont go posting it in every channel","",""
"208250933522464768","Timbersaw#8519","27-Dec-17 11:20 PM","xd","",""
"456226577798135808","Deleted User#0000","27-Dec-17 11:20 PM","I will!","",""
"456226577798135808","Deleted User#0000","27-Dec-17 11:20 PM","jk","",""
"244657929196666891","Hector Garcia#1092","27-Dec-17 11:28 PM","Any one else doing this pset?","",""
"456226577798135808","Deleted User#0000","27-Dec-17 11:28 PM","Me!","",""
"456226577798135808","Deleted User#0000","29-Dec-17 01:21 AM","Hi, I have this code","",""
"456226577798135808","Deleted User#0000","29-Dec-17 01:22 AM","```/**
 * helpers.c
 *
 * Helper functions for Problem Set 3.
 */

#include <cs50.h>

#include ""helpers.h""

/**
 * Returns true if value is in array of n values, else false.
 */
bool search(int value, int values[], int n)
{
    int start = n;
    int target = value;
    int middle;
    int end = 0;
    //Repeat until the (sub)array is of size 0
    do
    {
     //Calculate the middle point of the current (sub)array
     middle = (start + end)/2;
     //If the target is in the middle,...
     if(target == middle)
      {
       //...Stop.
       return true;
      }
     //Otherwise, if the target is less than what's in the middle...
     if(target < middle)
      {
       //...Change the end to just the left of the middle.
       end = middle - 1;
      }
     //Otherwise, if the target is more than what's in the middle...
     if(target > middle)
      {
        //...Change the start to just the right of the middle.
        start = middle + 1;
      }

    }
    while(start - end == 0);
    return false;
}

/**
 * Sorts array of n values.
 */
void sort(int values[], int n)//Note: SC = swap counter
{
    //Temporary Variable
    int temp;
    //Set swap counter to non-zero value (I just chose 7!)
    int SC = 7;
    //Repeat until swap counter is 0:
    do
    {
      //Reset swap counter to 0
      SC = 0;
      //Look at each adjacent pair
      for(int i = 0, h = n - 2; i < h; i++)
       {
           //If two adjacent elements not in order,
           if(values[i] > values[i - 1])
            {             //Swap them...
             temp = values[i - 1];
             values[i - 1] = values[i];
             values[i] = temp;
             //...And add one to the swap counter
             SC++;
            }
       }

    }
    while(SC != 0);
    return;
}```","",""
"456226577798135808","Deleted User#0000","29-Dec-17 01:29 AM","And then I get this.... ```~/workspace/pset3/find/ $ ./generate 1000 50 | ./find 127

haystack[0] = 
haystack[1] = 
haystack[2] = 
haystack[3] = 
haystack[4] = 
haystack[5] = 
haystack[6] = 
haystack[7] = 
haystack[8] = 
haystack[9] = 
haystack[10] = 
haystack[11] = 
haystack[12] = 
haystack[13] =
.........
haystack[977] = 
haystack[978] = 
haystack[979] = 
haystack[980] = 
haystack[981] = 
haystack[982] = 
haystack[983] = 
haystack[984] = 
haystack[985] = 
haystack[986] = 
haystack[987] = 
haystack[988] = 
haystack[989] = 
haystack[990] = 
haystack[991] = 
haystack[992] = 
haystack[993] = 
haystack[994] = 
haystack[995] = 
haystack[996] = 
haystack[997] = 
haystack[998] = 
haystack[999] = 
haystack[1000] = 
Segmentation fault
~/workspace/pset3/find/ $ ```","",""
